jg_details,jg,p_desc,precision,recall,fscore,is_user
"1439 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",1,1,1,2015-16
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",1,1,1,2015-16
"951 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",1,1,1,2015-16
"1439 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_tspct<0.69,PT_1.prov_player__game__stats_usage<20.51,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14260870.0",1,0.71053,0.83078,2016-17
"951 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_tspct<0.69,PT_1.prov_player__game__stats_usage<20.51,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14260870.0",1,0.71053,0.83078,2016-17
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_tspct<0.69,PT_1.prov_player__game__stats_usage<20.51,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14260870.0",1,0.71053,0.83078,2016-17
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_minutes>30.7,PT_1.prov_player__game__stats_tspct>0.42,PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",1,0.69136,0.81752,2015-16
"1439 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_minutes>30.7,PT_1.prov_player__game__stats_tspct>0.42,PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",1,0.69136,0.81752,2015-16
"951 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_tspct>0.42,PT_1.prov_player__game__stats_usage>14.06,PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",1,0.66667,0.8,2015-16
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_tspct>0.42,PT_1.prov_player__game__stats_usage>14.02,PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0,team_2.team=GSW",1,0.59259,0.74418,2015-16
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_minutes<36.105,PT_1.prov_player__game__stats_usage<20.21,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14260870.0,team_2.team=GSW",1,0.59211,0.7438,2016-17
