jg_details,jg,p_desc,precision,recall,fscore,is_user
"1707 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: player_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: player_game_stats, 4: player, cond: (A_4.player_id)=(A_3.player_id)","1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,player_4.player_name=Draymond Green",0.6218487395,0.90244,0.73632,2013-14
"535 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: player_game_stats, 4: player, cond: (A_4.player_id)=(A_3.player_id)","1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,player_4.player_name=Draymond Green",0.6218487395,0.90244,0.73632,2013-14
"1121 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: player_game_stats, 4: player, cond: (A_4.player_id)=(A_3.player_id)","1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,player_4.player_name=Draymond Green",0.6218487395,0.90244,0.73632,2013-14
"535 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: player_game_stats, 4: player, cond: (A_4.player_id)=(A_3.player_id)","1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints>57.0,PT_1.prov_team__game__stats_nonputbacksassisted__two__spct>0.5475,player_4.player_name=Harrison Barnes",0.7808219178,0.69512,0.73548,2014-15
"1121 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: player_game_stats, 4: player, cond: (A_4.player_id)=(A_3.player_id)","1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints>57.0,PT_1.prov_team__game__stats_nonputbacksassisted__two__spct>0.5475,player_4.player_name=Harrison Barnes",0.7808219178,0.69512,0.73548,2014-15
"562 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)| 3: player_salary, 4: player, cond: (A_4.player_id)=(A_3.player_id)","1: PT, 2: team| 1: PT, 3: player_salary| 3: player_salary, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,player_4.player_name=Gal Mekel",0.606557377,0.90244,0.7255,2013-14
1 :,,"PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0",0.606557377,0.90244,0.7255,2013-14
1 :,,"PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,PT_1.prov_team__game__stats_offatrimreboundpct>0.25",0.7108433735,0.71951,0.71516,2013-14
"1707 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: player_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: player_game_stats, 4: player, cond: (A_4.player_id)=(A_3.player_id)","1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<67.0,PT_1.prov_team__game__stats_nonputbacksassisted__two__spct<0.69,player_4.player_name=David Lee",0.7534246575,0.67073,0.70968,2013-14
"562 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)| 3: player_salary, 4: player, cond: (A_4.player_id)=(A_3.player_id)","1: PT, 2: team| 1: PT, 3: player_salary| 3: player_salary, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints>58.5,PT_1.prov_team__game__stats_nonputbacksassisted__two__spct>0.55,player_4.player_name=Mike Muscala",0.7368421053,0.68293,0.70886,2014-15
"1121 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: player_game_stats, 4: player, cond: (A_4.player_id)=(A_3.player_id)","1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints>50.0,PT_1.prov_team__game__stats_nonputbacksassisted__two__spct>0.5525,player_4.player_name=Stephen Curry",0.6464646465,0.78049,0.70718,2014-15
"19 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")","1: PT, 2: team| 1: PT, 2: team","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints>57.0,team_2.team=GSW",0.7234042553,0.65385,0.68688,2014-15
"20 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")","1: PT, 2: team| 1: PT, 2: team","PT_1.prov_season_season__type=regular season,team_2.team=GSW",0.5384615385,0.93333,0.68292,2014-15
"535 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: player_game_stats, 4: player, cond: (A_4.player_id)=(A_3.player_id)","1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints>50.0,PT_1.prov_team__game__stats_nonputbacksassisted__two__spct>0.55,player_4.player_name=Marreese Speights",0.6315789474,0.73171,0.67796,2014-15
