jg_details,jg,p_desc,precision,recall,fscore,is_user
"1439 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>14500000.0",1,1,1,2009-10
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>14500000.0",1,1,1,2009-10
"951 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>14500000.0",1,1,1,2009-10
"1316 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: team_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: team_game_stats, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_season_season__type=regular season,team_4.team=MIA",0.9634146341,1,0.98136,2010-11
"828 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: team_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: team_game_stats, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_season_season__type=regular season,team_4.team=MIA",0.9634146341,1,0.98136,2010-11
"340 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: team_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: team_game_stats, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_season_season__type=regular season,team_4.team=MIA",0.9634146341,1,0.98136,2010-11
"18 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")","1: PT, 2: team| 1: PT, 2: team","PT_1.prov_season_season__type=regular season,team_2.team=CLE",1,0.86667,0.92858,2009-10
"2 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")","1: PT, 2: team","PT_1.prov_season_season__type=regular season,team_2.team=CLE",0.9836065574,0.78947,0.87592,2009-10
"460 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: play_for, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 3: play_for, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_season_season__type=regular season,play_for_3.date_end=2018-04-11,team_2.team=CLE,team_4.team=CLE",0.9836065574,0.78947,0.87592,2009-10
"17 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")","1: PT, 2: team| 1: PT, 2: team","PT_1.prov_season_season__type=regular season,team_2.team=MIA",1,0.73171,0.84508,2010-11
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_assisted__two__spct>0.19,PT_1.prov_player__game__stats_usage>28.025,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14500000.0",1,0.71053,0.83078,2009-10
"1439 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_assisted__two__spct>0.19,PT_1.prov_player__game__stats_usage>28.025,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14500000.0",1,0.71053,0.83078,2009-10
"951 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_deflongmidrangereboundpct>0.1,PT_1.prov_player__game__stats_usage>28.025,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14500000.0",1,0.69737,0.8217,2009-10
"1439 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_assisted__two__spct<0.5,PT_1.prov_player__game__stats_def__three__ptreboundpct<0.25,PT_1.prov_season_season__type=regular season,player_salary_3.salary<15779912.0",1,0.64557,0.78462,2010-11
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_assisted__two__spct<0.5,PT_1.prov_player__game__stats_def__three__ptreboundpct<0.25,PT_1.prov_season_season__type=regular season,player_salary_3.salary<15779912.0",1,0.64557,0.78462,2010-11
"951 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_assisted__two__spct<0.5,PT_1.prov_player__game__stats_usage<36.36,PT_1.prov_season_season__type=regular season,player_salary_3.salary<15779912.0",1,0.63291,0.7752,2010-11
"951 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_assisted__two__spct>0.19,PT_1.prov_player__game__stats_deflongmidrangereboundpct<0.29,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14500000.0",1,0.63158,0.7742,2009-10
"460 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: play_for, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 3: play_for, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_player__game__stats_deflongmidrangereboundpct<0.27,PT_1.prov_season_season__type=regular season,play_for_3.date_end=2014-04-12,team_2.team=CLE,team_4.team=MIA",1,0.56579,0.72268,2009-10
"828 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: team_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: team_game_stats, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_assisted__two__spct<0.38,PT_1.prov_player__game__stats_fg__three__apct<0.2475,PT_1.prov_season_season__type=regular season,team_4.team=MIA",0.9782608696,0.56962,0.72,2010-11
